generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
68,0,0,1.3169e-05,0,3.23239e-05,0,0.00673574,1.03756e-05,5.18778e-06,0,0.00255658,4.19013e-06,0.00200727,7.38261e-06,0.986847,0.00178101
69,0,0,1.32334e-05,0,3.29784e-05,0,0.00673536,1.07127e-05,5.25134e-06,0,0.00255614,3.78096e-06,0.00200097,6.93176e-06,0.986856,0.00177852
70,0,0,1.33322e-05,0,3.38279e-05,0,0.00672439,1.03474e-05,4.77571e-06,0,0.00256296,3.1838e-06,0.00200759,6.5666e-06,0.986838,0.00179467
71,0,0,1.29876e-05,0,3.35164e-05,0,0.00671416,1.06833e-05,4.81798e-06,0,0.00256987,3.14216e-06,0.00201391,6.91275e-06,0.986837,0.0017925
72,0,0,1.35707e-05,0,3.33281e-05,0,0.00671591,1.11759e-05,5.1888e-06,0,0.00256646,3.19311e-06,0.00201425,6.98493e-06,0.986834,0.00179572
73,0,0,1.34428e-05,0,3.25568e-05,0,0.00670901,1.11323e-05,5.04105e-06,0,0.00256253,3.3607e-06,0.00201474,6.51136e-06,0.986838,0.00180344
74,0,0,1.33349e-05,0,3.38347e-05,0,0.00670803,1.19417e-05,5.37375e-06,0,0.0025593,3.78153e-06,0.00201914,6.36889e-06,0.986837,0.001802
75,0,0,1.29902e-05,0,3.45706e-05,0,0.00670586,1.17331e-05,5.44749e-06,0,0.00256849,3.77134e-06,0.00201096,6.28557e-06,0.98684,0.00179977
76,0,0,1.45646e-05,0,3.39176e-05,0,0.0067105,1.13724e-05,5.98546e-06,0,0.00257056,3.79079e-06,0.00201052,6.98304e-06,0.986842,0.00178985
77,0,0,1.40708e-05,0,3.38119e-05,0,0.00670777,1.13406e-05,6.09034e-06,0,0.00256928,3.78021e-06,0.0020012,7.35041e-06,0.986862,0.00178363
