generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
3362,0,0,8.3805e-06,0,3.01299e-05,0,0.00684168,8.3805e-06,2.39443e-06,0,0.00257142,4.38978e-06,0.0019315,5.38746e-06,0.986707,0.001889
3363,0,0,8.82271e-06,0,2.9409e-05,0,0.00683676,8.19252e-06,2.31071e-06,0,0.00257035,4.41136e-06,0.00192671,5.67174e-06,0.986714,0.00189289
3364,0,0,7.958e-06,0,2.86488e-05,0,0.00682816,8.15695e-06,2.3874e-06,0,0.00258038,3.979e-06,0.00192086,5.1727e-06,0.986708,0.00190674
3365,0,0,7.95874e-06,0,2.84839e-05,0,0.00682043,7.53986e-06,2.51329e-06,0,0.00258827,4.18881e-06,0.00192162,5.44545e-06,0.986712,0.00190172
3366,0,0,8.18725e-06,0,2.79565e-05,0,0.00681598,7.98756e-06,2.39627e-06,0,0.00259136,4.19347e-06,0.00191562,5.59129e-06,0.986731,0.00189006
3367,0,0,8.19771e-06,0,2.77461e-05,0,0.00679968,8.19771e-06,2.31217e-06,0,0.00259405,4.20395e-06,0.00191427,5.67534e-06,0.986746,0.00188947
3368,0,0,9.15052e-06,0,2.78494e-05,0,0.00679327,8.75268e-06,1.79032e-06,0,0.00257925,4.37634e-06,0.00192161,5.37096e-06,0.986766,0.00188262
3369,0,0,8.79543e-06,0,2.68051e-05,0,0.00678672,8.79543e-06,1.67532e-06,0,0.00258627,4.60713e-06,0.00192159,5.6542e-06,0.986768,0.00188138
3370,0,0,8.98292e-06,0,2.71484e-05,0,0.00679189,9.18254e-06,1.59696e-06,0,0.00258449,4.79089e-06,0.00192095,5.58937e-06,0.98676,0.00188581
3371,0,0,8.82423e-06,0,2.73131e-05,0,0.00681083,9.45453e-06,1.68081e-06,0,0.00258529,5.04242e-06,0.00191507,5.67272e-06,0.986744,0.00188712
3372,0,0,8.75495e-06,0,2.86526e-05,0,0.00681573,9.74983e-06,1.39283e-06,0,0.00258609,4.9744e-06,0.00191276,5.17338e-06,0.986752,0.00187435
3373,0,0,8.79691e-06,0,2.91136e-05,0,0.0068176,9.42526e-06,1.04725e-06,0,0.00258713,5.23625e-06,0.00191626,5.4457e-06,0.986746,0.00187395
3374,0,0,8.98155e-06,0,2.73438e-05,0,0.00682418,9.9795e-06,7.9836e-07,0,0.00259387,4.79016e-06,0.00192704,4.79016e-06,0.986721,0.00187714
3375,0,0,8.82524e-06,0,2.75263e-05,0,0.00682275,9.66574e-06,6.30374e-07,0,0.00259735,4.83287e-06,0.00192768,4.62274e-06,0.986712,0.0018844
3376,0,0,9.35376e-06,0,2.66682e-05,0,0.00686666,8.35868e-06,3.98033e-07,0,0.00259756,5.37344e-06,0.00191235,5.17442e-06,0.986697,0.00187075
3377,0,0,9.42779e-06,0,2.63978e-05,0,0.00686301,8.79927e-06,2.09506e-07,0,0.00260102,5.44717e-06,0.00190693,5.44717e-06,0.986702,0.00187131
3378,0,0,1.0577e-05,0,2.59435e-05,0,0.00685906,8.78087e-06,3.99131e-07,0,0.00258876,5.58783e-06,0.00191363,5.98696e-06,0.986708,0.00187292
3379,0,0,1.11346e-05,0,2.60507e-05,0,0.00684313,8.40344e-06,4.20172e-07,0,0.00259078,5.67232e-06,0.00191451,5.88241e-06,0.986723,0.00187124
3380,0,0,1.07486e-05,0,2.64733e-05,0,0.00685241,8.36e-06,3.98095e-07,0,0.00258324,5.77238e-06,0.00193335,5.37428e-06,0.986706,0.00186806
3381,0,0,9.84818e-06,0,2.57729e-05,0,0.00683506,8.59097e-06,4.19072e-07,0,0.00258756,5.867e-06,0.00193611,5.2384e-06,0.986719,0.00186675
3382,0,0,9.57706e-06,0,2.51398e-05,0,0.00680929,8.77897e-06,1.99522e-07,0,0.00257862,5.98566e-06,0.00193876,5.18757e-06,0.986768,0.00185017
