generation,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv,vv
127,0,0,1.15E-05,0,3.79E-05,0,0.00659744,8.37E-06,3.77E-06,0,0.0024985,4.81E-06,0.00197402,8.79E-06,0.987033,0.00182145
128,0,0,1.14E-05,0,3.56E-05,0,0.00660341,8.59E-06,3.60E-06,0,0.00248707,4.79E-06,0.00197088,8.79E-06,0.987038,0.00182765
129,0,0,1.14E-05,0,3.55E-05,0,0.00661058,8.62E-06,3.79E-06,0,0.00249014,4.63E-06,0.00197201,8.83E-06,0.987029,0.00182565
130,0,0,1.27E-05,0,3.66E-05,0,0.00661704,7.95E-06,4.17E-06,0,0.00248067,4.77E-06,0.00196859,8.95E-06,0.987044,0.00181453
131,0,0,1.30E-05,0,3.70E-05,0,0.00660945,8.16E-06,4.40E-06,0,0.00247273,5.02E-06,0.00197312,8.79E-06,0.987053,0.00181531
132,0,0,1.38E-05,0,3.85E-05,0,0.00662024,7.59E-06,4.19E-06,0,0.00248151,5.19E-06,0.0019678,8.59E-06,0.987043,0.0018092
133,0,0,1.41E-05,0,3.95E-05,0,0.00662869,7.78E-06,4.42E-06,0,0.00247666,5.05E-06,0.00196636,9.04E-06,0.987035,0.00181329
134,0,0,1.39E-05,0,3.72E-05,0,0.00662918,8.35E-06,4.97E-06,0,0.0024942,4.97E-06,0.00197889,9.55E-06,0.987001,0.00181819
135,0,0,1.40E-05,0,3.79E-05,0,0.00663592,8.16E-06,5.02E-06,0,0.00249488,5.02E-06,0.00197903,9.84E-06,0.986989,0.00182118
136,0,0,1.44E-05,0,3.79E-05,0,0.00662848,7.79E-06,4.99E-06,0,0.00249938,5.19E-06,0.00198537,1.08E-05,0.98699,0.00181523
137,0,0,1.39E-05,0,3.72E-05,0,0.0066166,7.78E-06,4.63E-06,0,0.00249166,5.47E-06,0.00199215,1.09E-05,0.986996,0.00182396
138,0,0,1.33E-05,0,3.76E-05,0,0.00663487,8.15E-06,4.77E-06,0,0.00248549,4.97E-06,0.00199444,1.17E-05,0.986986,0.00181822
139,0,0,1.36E-05,0,3.79E-05,0,0.00662778,8.17E-06,5.02E-06,0,0.00249003,4.82E-06,0.00198859,1.13E-05,0.986998,0.0018146
