generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
77,1.05178e-06,0,1.99839e-05,0,3.02913e-05,0,0.00683427,2.31392e-05,2.73463e-06,0,0.00247947,1.4725e-06,0.00204025,9.6764e-06,0.986819,0.00173902
78,1.19219e-06,0,1.8479e-05,0,3.13944e-05,0,0.00682908,2.18569e-05,2.78178e-06,0,0.00248056,1.58959e-06,0.00203468,9.33885e-06,0.986815,0.00175451
79,1.04559e-06,0,1.92389e-05,0,3.1786e-05,0,0.00683482,2.15392e-05,2.50942e-06,0,0.00248704,1.67294e-06,0.00203095,8.99208e-06,0.986805,0.00175534
80,9.99682e-07,0,1.85941e-05,0,3.21897e-05,0,0.00680683,2.07934e-05,2.99904e-06,0,0.00248221,1.59949e-06,0.00202416,9.39701e-06,0.986849,0.00175144
81,1.05219e-06,0,1.83081e-05,0,3.26179e-05,0,0.00681777,2.12542e-05,2.73569e-06,0,0.00247854,1.05219e-06,0.00202126,9.25927e-06,0.986845,0.00175084
82,1.19212e-06,0,1.74844e-05,0,3.25846e-05,0,0.00682072,2.08621e-05,2.9803e-06,0,0.00248438,9.93433e-07,0.00203336,9.53696e-06,0.986828,0.00174785
83,1.25469e-06,0,1.77748e-05,0,3.2831e-05,0,0.00681338,2.11206e-05,3.13672e-06,0,0.00248533,1.04557e-06,0.00202925,9.41016e-06,0.986842,0.00174297
84,9.99511e-07,0,1.69917e-05,0,3.33837e-05,0,0.00679428,2.11896e-05,2.59873e-06,0,0.00248418,9.99511e-07,0.002036,9.59531e-06,0.986854,0.00174595
85,1.05216e-06,0,1.72554e-05,0,3.43004e-05,0,0.00678496,2.14641e-05,2.31475e-06,0,0.00248268,8.41728e-07,0.00203467,1.01007e-05,0.986873,0.00173733
86,9.93309e-07,0,1.78796e-05,0,3.43685e-05,0,0.00679165,2.10582e-05,2.18528e-06,0,0.00248466,1.19197e-06,0.00203907,9.33711e-06,0.986854,0.00174346
87,1.04542e-06,0,1.77722e-05,0,3.44989e-05,0,0.00678269,2.06993e-05,2.09084e-06,0,0.00248538,1.04542e-06,0.00204484,9.61787e-06,0.986856,0.00174481
88,9.99821e-07,0,1.77968e-05,0,3.29941e-05,0,0.00678098,1.97965e-05,2.39957e-06,0,0.00247796,1.19978e-06,0.00205663,9.19835e-06,0.986848,0.00175249
89,1.0525e-06,0,1.78925e-05,0,3.2417e-05,0,0.00677788,1.9787e-05,2.3155e-06,0,0.00247864,1.263e-06,0.00205785,9.47249e-06,0.986851,0.00175031
90,1.19161e-06,0,1.58882e-05,0,3.25708e-05,0,0.00675963,1.98602e-05,2.38323e-06,0,0.00247915,1.58882e-06,0.00208195,9.93011e-06,0.986854,0.00174154
91,1.25439e-06,0,1.54708e-05,0,3.2614e-05,0,0.00675675,2.02792e-05,2.50877e-06,0,0.00248536,1.67251e-06,0.00208291,1.00351e-05,0.986853,0.00173858
92,1.40004e-06,0,1.74005e-05,0,3.3601e-05,0,0.00675979,2.24006e-05,2.80008e-06,0,0.00248207,1.80005e-06,0.00208466,1.04003e-05,0.986836,0.00174725
93,1.26356e-06,0,1.68474e-05,0,3.32736e-05,0,0.00675223,2.29546e-05,2.52711e-06,0,0.00248499,1.89533e-06,0.00209055,1.05296e-05,0.98683,0.00175297
94,1.19096e-06,0,1.62764e-05,0,3.13619e-05,0,0.00675789,2.22312e-05,3.17589e-06,0,0.00249605,1.58794e-06,0.00208537,1.05201e-05,0.986816,0.00175785
95,1.04487e-06,0,1.69269e-05,0,3.23909e-05,0,0.00676093,2.21512e-05,3.34358e-06,0,0.00249933,1.46282e-06,0.00208577,1.08666e-05,0.986807,0.00175914
96,8.00088e-07,0,1.76019e-05,0,3.32037e-05,0,0.00677135,2.28025e-05,3.80042e-06,0,0.00250448,1.20013e-06,0.00209063,1.04012e-05,0.986791,0.00175279
97,8.42121e-07,0,1.78951e-05,0,3.30533e-05,0,0.00676708,2.21057e-05,3.78955e-06,0,0.00250447,1.26318e-06,0.00209372,1.01055e-05,0.986794,0.00175161
